job_id	job_name	state	exit_code	elapsed	start	end	node_list
10800207	one-shot	COMPLETED	0:0	17:22:35	2026-07-11T12:49:44	2026-07-12T06:12:19	gpu05
10800210	levy	COMPLETED	0:0	1-13:32:59	2026-07-11T12:53:37	2026-07-13T02:26:36	gpu01
10800211	blur	COMPLETED	0:0	2-10:28:46	2026-07-11T13:31:43	2026-07-14T00:00:29	gpu11
10800213	mask	COMPLETED	0:0	18:15:04	2026-07-11T13:52:23	2026-07-12T08:07:27	gpu12
10800233	add	COMPLETED	0:0	2-09:05:04	2026-07-11T13:52:23	2026-07-13T22:57:27	gpu14
10800235	fmDT	COMPLETED	0:0	19:53:53	2026-07-11T13:58:56	2026-07-12T09:52:49	gpu05
10800236	product	COMPLETED	0:0	2-11:12:00	2026-07-11T14:03:58	2026-07-14T01:15:58	gpu06
10803830	scorex0	COMPLETED	0:0	3-22:55:48	2026-07-12T05:10:14	2026-07-16T04:06:02	gpu04
10804134	gen3_add_0	COMPLETED	0:0	00:05:13	2026-07-13T23:27:59	2026-07-13T23:33:12	gpu11
10804135	gen3_add_1	COMPLETED	0:0	00:05:10	2026-07-13T23:33:33	2026-07-13T23:38:43	gpu11
10804136	gen3_blur_0	COMPLETED	0:0	00:08:49	2026-07-14T00:05:19	2026-07-14T00:14:08	gpu12
10804137	gen3_add_2	COMPLETED	0:0	00:05:08	2026-07-13T23:39:06	2026-07-13T23:44:14	gpu11
10804138	gen3_blur_1	COMPLETED	0:0	00:08:19	2026-07-14T00:14:24	2026-07-14T00:22:43	gpu12
10804139	gen3_blur_2	COMPLETED	0:0	00:08:07	2026-07-14T00:25:00	2026-07-14T00:33:07	gpu12
10804140	gen3_scorex0_4	COMPLETED	0:0	00:08:21	2026-07-16T04:06:08	2026-07-16T04:14:29	gpu04
10804141	gen3_scorex0_0	COMPLETED	0:0	00:08:28	2026-07-16T04:08:14	2026-07-16T04:16:42	gpu16
10804142	gen3_fmDT_0	COMPLETED	0:0	00:09:18	2026-07-12T09:53:04	2026-07-12T10:02:22	gpu05
10804144	gen3_levy_0	COMPLETED	0:0	00:08:27	2026-07-13T02:45:45	2026-07-13T02:54:12	gpu13
