stage	job_id	detail
run_array	11142109	fmDT a=0.2,0.4,0.6,0.8,1
acceptance_gate	11142110	afterok run array; validates sacct plus fresh training and inference outputs
training_loss	11142111	afterok acceptance gate
dispatch	11142112	afterok acceptance gate
metric	11149435	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:0.2/test/converted/Epoch_595
metric	11149436	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:0.4/test/converted/Epoch_595
metric	11149437	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:0.6/test/converted/Epoch_595
metric	11149438	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:0.8/test/converted/Epoch_595
metric	11149439	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/converted/Epoch_595
wer_array	11149440	5 paths
utmos_array	11149441	5 paths
summary	11149442	after all fmDT metrics
