requested_job_id	job_id_raw	job_name	state	exit_code	start	end	elapsed	node_list	status
10803830	10803830	scorex0	COMPLETED	0:0	2026-07-12T05:10:14	2026-07-16T04:06:02	3-22:55:48	gpu04	complete
10804140	10804140	gen3_scorex0_4	COMPLETED	0:0	2026-07-16T04:06:08	2026-07-16T04:14:29	00:08:21	gpu04	complete
10804141	10804141	gen3_scorex0_0	COMPLETED	0:0	2026-07-16T04:08:14	2026-07-16T04:16:42	00:08:28	gpu16	complete
10804156	10804156	gen3_scorex0_2	COMPLETED	0:0	2026-07-16T04:13:22	2026-07-16T04:22:37	00:09:15	gpu13	complete
10804158	10804158	gen3_scorex0_3	COMPLETED	0:0	2026-07-16T04:14:29	2026-07-16T04:22:45	00:08:16	gpu04	complete
10804159	10804159	gen3_scorex0_1	COMPLETED	0:0	2026-07-16T04:16:42	2026-07-16T04:24:59	00:08:17	gpu16	complete
11099159	11099159	tan10_dispatch34	COMPLETED	0:0	2026-08-02T00:28:34	2026-08-02T00:28:39	00:00:05	node004	complete
11104611	11104611	tan10_m_scorex0_0	COMPLETED	0:0	2026-08-02T00:42:19	2026-08-02T00:59:02	00:16:43	node079	complete
11104612	11104612	tan10_m_scorex0_1	COMPLETED	0:0	2026-08-02T00:43:26	2026-08-02T01:00:07	00:16:41	node079	complete
11104613	11104613	tan10_m_scorex0_2	COMPLETED	0:0	2026-08-02T00:43:58	2026-08-02T01:00:50	00:16:52	node036	complete
11104614	11104614	tan10_m_scorex0_3	COMPLETED	0:0	2026-08-02T00:43:58	2026-08-02T01:00:46	00:16:48	node092	complete
11104615	11104615	tan10_m_scorex0_4	COMPLETED	0:0	2026-08-02T00:45:04	2026-08-02T01:01:44	00:16:40	node049	complete
11104616_29	11104836	tan10_wer	COMPLETED	0:0	2026-08-02T01:28:19	2026-08-02T01:35:16	00:06:57	gpu16	complete
11104616_30	11104841	tan10_wer	COMPLETED	0:0	2026-08-02T01:29:26	2026-08-02T01:36:17	00:06:51	gpu01	complete
11104616_31	11104843	tan10_wer	COMPLETED	0:0	2026-08-02T01:29:59	2026-08-02T01:37:10	00:07:11	gpu05	complete
11104616_32	11104844	tan10_wer	COMPLETED	0:0	2026-08-02T01:29:59	2026-08-02T01:36:58	00:06:59	gpu06	complete
11104616_33	11104616	tan10_wer	COMPLETED	0:0	2026-08-02T01:30:32	2026-08-02T01:37:39	00:07:07	gpu11	complete
11104618_29	11104900	tan10_utmos	COMPLETED	0:0	2026-08-02T01:51:32	2026-08-02T01:59:32	00:08:00	gpu05	complete
11104618_30	11104901	tan10_utmos	COMPLETED	0:0	2026-08-02T01:51:32	2026-08-02T01:56:23	00:04:51	gpu12	complete
11104618_31	11104902	tan10_utmos	COMPLETED	0:0	2026-08-02T01:51:32	2026-08-02T01:56:25	00:04:53	gpu16	complete
11104618_32	11104903	tan10_utmos	COMPLETED	0:0	2026-08-02T01:51:40	2026-08-02T01:56:27	00:04:47	gpu04	complete
11104618_33	11104618	tan10_utmos	COMPLETED	0:0	2026-08-02T01:51:40	2026-08-02T01:58:04	00:06:24	gpu13	complete
11104619	11104619	tan10_training_loss	COMPLETED	0:0	2026-08-02T00:29:43	2026-08-02T00:29:49	00:00:06	node146	complete
11104956	11104956	tan10_summary_fix	COMPLETED	0:0	2026-08-02T02:32:35	2026-08-02T02:45:50	00:13:15	node012	complete
11104981	11104981	tan10_audit_fix	COMPLETED	0:0	2026-08-02T02:49:05	2026-08-02T02:49:56	00:00:51	node004	complete
11141986	11141986	fmdt_env_2025_probe	COMPLETED	0:0	2026-08-07T02:23:40	2026-08-07T02:23:51	00:00:11	gpu05	complete
11142108	11142108	tan18_fmdt_checkpoint	COMPLETED	0:0	2026-08-07T02:24:10	2026-08-07T02:24:15	00:00:05	node039	complete
11142109_0	11142677	tan18_fmdt_run_r3	COMPLETED	0:0	2026-08-07T04:56:46	2026-08-07T23:02:53	18:06:07	gpu16	complete
11142109_1	11142686	tan18_fmdt_run_r3	COMPLETED	0:0	2026-08-07T05:05:22	2026-08-08T00:32:13	19:26:51	gpu15	complete
11142109_2	11142706	tan18_fmdt_run_r3	COMPLETED	0:0	2026-08-07T05:15:28	2026-08-07T23:12:03	17:56:35	gpu08	complete
11142109_3	11142741	tan18_fmdt_run_r3	COMPLETED	0:0	2026-08-07T05:31:37	2026-08-07T23:21:51	17:50:14	gpu15	complete
11142109_4	11142109	tan18_fmdt_run_r3	COMPLETED	0:0	2026-08-07T05:38:10	2026-08-08T00:03:01	18:24:51	gpu05	complete
11142110	11142110	tan18_fmdt_gate	COMPLETED	0:0	2026-08-08T00:32:37	2026-08-08T00:32:52	00:00:15	node036	complete
11142111	11142111	tan18_fmdt_loss	COMPLETED	0:0	2026-08-08T00:33:08	2026-08-08T00:33:11	00:00:03	node036	complete
11142112	11142112	tan18_fmdt_dispatch	COMPLETED	0:0	2026-08-08T00:33:08	2026-08-08T00:33:11	00:00:03	node036	complete
11143257	11143257	tan18_all_bridge	COMPLETED	0:0	2026-08-08T00:33:38	2026-08-08T00:33:41	00:00:03	node036	complete
11149886_0	11149893	tan18_fmdt_metric_r3	COMPLETED	0:0	2026-08-08T01:41:47	2026-08-08T01:58:44	00:16:57	node147	complete
