job_id	log_path	bytes	last_nonempty_line
10800207	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/one-shot/slurm-10800207.out	57407501	end 500st epoch 2026-07-12 06:12:16
10800210	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/slurm-10800210.out	114997316	end 500st epoch 2026-07-13 02:26:33
10800211	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/slurm-10800211.out	172540658	end 500st epoch 2026-07-14 00:00:26
10800213	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/slurm-10800213.out	57526661	end 500st epoch 2026-07-12 08:07:24
10800233	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/slurm-10800233.out	172613284	end 500st epoch 2026-07-13 22:57:23
10800235	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/slurm-10800235.out	57254172	end 500st epoch 2026-07-12 09:52:46
10800236	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/slurm-10800236.out	172454345	end 500st epoch 2026-07-14 01:15:55
10803830	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/slurm-10803830.out	287365689	end 500st epoch 2026-07-16 04:05:58
10804134	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-add-0-10804134.err	962	"warnings.warn(""torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm."")"
10804134	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-add-0-10804134.out	880	repaired /mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/converted/Epoch_495 count=488
10804135	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-add-1-10804135.err	962	"warnings.warn(""torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm."")"
10804135	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-add-1-10804135.out	880	repaired /mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/converted/Epoch_495 count=488
10804136	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-blur-0-10804136.err	962	"warnings.warn(""torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm."")"
10804136	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-blur-0-10804136.out	881	repaired /mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/converted/Epoch_495 count=488
10804137	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-add-2-10804137.err	962	"warnings.warn(""torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm."")"
10804137	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-add-2-10804137.out	880	repaired /mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/converted/Epoch_495 count=488
10804138	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-blur-1-10804138.err	962	"warnings.warn(""torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm."")"
10804138	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-blur-1-10804138.out	881	repaired /mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/converted/Epoch_495 count=488
10804139	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-blur-2-10804139.err	962	"warnings.warn(""torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm."")"
10804139	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-blur-2-10804139.out	881	repaired /mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/converted/Epoch_495 count=488
10804140	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-scorex0-4-10804140.err	962	"warnings.warn(""torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm."")"
10804140	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-scorex0-4-10804140.out	904	repaired /mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.2/test/converted/Epoch_495 count=488
10804141	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-scorex0-0-10804141.err	962	"warnings.warn(""torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm."")"
10804141	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-scorex0-0-10804141.out	904	repaired /mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:1.0/test/converted/Epoch_495 count=488
10804142	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-fmDT-0-10804142.err	962	"warnings.warn(""torch.nn.utils.weight_norm is deprecated in favor of torch.nn.utils.parametrizations.weight_norm."")"
10804142	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/.symphony/results/gen3-fmDT-0-10804142.out	876	repaired /mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/converted/Epoch_495 count=488
