Epoch 1: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 7.772
Epoch 2: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 2.750
Epoch 3: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.602
Epoch 4: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.242
Epoch 5: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.212
Epoch 6: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.201
Epoch 7: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.197
Epoch 8: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.191
Epoch 9: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.189
Epoch 10: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.185
Epoch 11: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.185
Epoch 12: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.180
Epoch 13: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.181
Epoch 14: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.181
Epoch 15: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.173
Epoch 16: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.174
Epoch 17: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.176
Epoch 18: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.171
Epoch 19: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.174
Epoch 20: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.171
Epoch 21: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.171
Epoch 22: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.170
Epoch 23: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.170
Epoch 24: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.169
Epoch 25: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.168
Epoch 26: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.165
Epoch 27: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.170
Epoch 28: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.162
Epoch 29: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.167
Epoch 30: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.168
Epoch 31: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.166
Epoch 32: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.164
Epoch 33: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.164
Epoch 34: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.165
Epoch 35: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.163
Epoch 36: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.162
Epoch 37: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.161
Epoch 38: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.160
Epoch 39: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.162
Epoch 40: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.161
Epoch 41: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.162
Epoch 42: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.163
Epoch 43: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.161
Epoch 44: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.158
Epoch 45: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.159
Epoch 46: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.159
Epoch 47: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.159
Epoch 48: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.161
Epoch 49: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.161
Epoch 50: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.158
Epoch 51: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.161
Epoch 52: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.159
Epoch 53: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.159
Epoch 54: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.157
Epoch 55: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.157
Epoch 56: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.160
Epoch 57: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.156
Epoch 58: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.157
