Epoch 1: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 8.170
Epoch 2: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 3.166
Epoch 3: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.996
Epoch 4: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.622
Epoch 5: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.583
Epoch 6: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.568
Epoch 7: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.556
Epoch 8: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.547
Epoch 9: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.542
Epoch 10: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.538
Epoch 11: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.533
Epoch 12: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.530
Epoch 13: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.528
Epoch 14: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.524
Epoch 15: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.522
Epoch 16: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.522
Epoch 17: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.518
Epoch 18: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.519
Epoch 19: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.516
Epoch 20: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.514
Epoch 21: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.513
Epoch 22: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.512
Epoch 23: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.510
Epoch 24: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.508
Epoch 25: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.509
Epoch 26: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.507
Epoch 27: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.505
Epoch 28: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.505
Epoch 29: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.505
Epoch 30: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.503
Epoch 31: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.503
Epoch 32: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.501
Epoch 33: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.500
