Epoch 1: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 7.777
Epoch 2: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 2.744
Epoch 3: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.593
Epoch 4: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.242
Epoch 5: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.217
Epoch 6: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.202
Epoch 7: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.190
Epoch 8: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.188
Epoch 9: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.185
Epoch 10: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.179
Epoch 11: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.177
Epoch 12: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.173
Epoch 13: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.172
Epoch 14: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.170
Epoch 15: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.168
Epoch 16: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.168
Epoch 17: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.164
Epoch 18: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.161
Epoch 19: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.162
Epoch 20: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.162
Epoch 21: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.158
Epoch 22: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.160
Epoch 23: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.157
Epoch 24: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.159
Epoch 25: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.155
Epoch 26: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.155
Epoch 27: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.156
Epoch 28: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 29: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.154
Epoch 30: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.154
Epoch 31: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.153
Epoch 32: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 33: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.151
Epoch 34: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.153
Epoch 35: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 36: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 37: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.148
Epoch 38: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.151
Epoch 39: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.150
Epoch 40: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.149
Epoch 41: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.148
