Epoch 1: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.418
Epoch 2: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.282
Epoch 3: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.261
Epoch 4: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.257
Epoch 5: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.252
Epoch 6: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.243
Epoch 7: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.244
Epoch 8: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.243
Epoch 9: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.241
Epoch 10: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.236
Epoch 11: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.238
Epoch 12: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.235
Epoch 13: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.231
Epoch 14: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.232
Epoch 15: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.233
Epoch 16: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.227
Epoch 17: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.232
Epoch 18: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.231
Epoch 19: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.227
Epoch 20: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.228
Epoch 21: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.228
Epoch 22: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.228
Epoch 23: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.226
Epoch 24: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.225
Epoch 25: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.227
Epoch 26: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.220
Epoch 27: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.225
Epoch 28: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.224
Epoch 29: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.222
Epoch 30: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.219
Epoch 31: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.220
Epoch 32: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.223
Epoch 33: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.226
Epoch 34: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.226
Epoch 35: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.222
Epoch 36: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.224
Epoch 37: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.225
